timeStamp,payload
1751955039634,!AIVDM,,1,,1,,,,B,,138a?n500kRPDV2BjOmPLc8P0<14,,0*47
1751955039645,!AIVDM,,1,,1,,,,A,,1
1751955055516,!AIVDM,,1,,1,,,,A,,14ac=F30052PE<<BipQbm8Ad0HPS,,0*18
1751955055622,!AIVDM,,1,,1,,,,B,,138a?n500pRPDUjBjR4h4c9f00Sm,,0*03
1751955055930,!AIVDM,,1,,1,,,,B,,15QJF>1P?w<tSF0l4Q@>481v0hPj,,0*58
1751955057782,!AIVDM,,1,,1,,,,B,,56H;NF82=UiCAPa80004l5A`T60TT0000000000l1p?38t000020BAP@000000000000008,,2*35
1751955060796,!AIVDM,,1,,1,,,,A,,19NSb<020cRP@S4BkH9EQlb204hd,,0*61
1751955062035,!AIVDM,,1,,1,,,,B,,16H=bv0P002P@4@BiuvULwwv0H1=,,0*46
1751955062242,!AIVDM,,1,,1,,,,B,,58VpN4429SaUTa4C:20d5A8Dr2222222222222169`;855k=e=j0BAPH888888888888880,,2*5A
1751955062658,!AIVDM,,1,,1,,,,B,,36H;NF5PA6RP?vbBj10a56b420vP,,0*59
1751955063369,!AIVDM,,1,,1,,,,A,,39Hl=JA0022P9PHBm7EiT7V60DRr,,0*2C
1751955079947,!AIVDM,,1,,1,,,,B,,16H?UmEP2N2PC1bBjf:dEgv60L1B,,0*0B
1751955079947,!AIVDM,,1,,1,,,,A,,155i;b10?w<tSF0l4Q@>48;v0d1A,,0*11
1751955079947,!AIVDM,,1,,1,,,,A,,16H;NF5PA6RP?uPBj0r`wVT820Su,,0*33
1751955079947,!AIVDM,,1,,1,,,,B,,14ac=F30052PE;`BipQ:@pB80@2v,,0*6D
1751955079947,!AIVDM,,1,,1,,,,A,,15QJF>1P?w<tSF0l4Q@>47wv0PSL,,0*0F
1751955081633,!AIVDM,,1,,1,,,,A,,555i;b82C9>5KA5O8005`uJ0IEAE8D0000000016@@<?71QB0=j0BAP@000000000000000,,2*59
1751955081633,!AIVDM,,1,,1,,,,B,,16H?4l0P02RPDmnBjDK4;?v<0<2C,,0*0A
1751955081633,!AIVDM,,1,,1,,,,B,,36H;NF5PA6RP?sHBj0e`lVJ@21q0,,0*20
1751955081633,!AIVDM,,1,,1,,,,B,,19NSb<0uhdRP@V0BkGiEQTbF0@6F,,0*60
1751955081633,!AIVDM,,1,,1,,,,A,,16H=bv0P002P@3tBiuvUoOwv0D1W,,0*0B
1751955100033,!AIVDM,,1,,1,,,,A,,36H;NF5PA62P?qpBj0Qpe6@F211@,,0*08
1751955100033,!AIVDM,,1,,1,,,,A,,39NSdW10022P;HDBln@IW82J0lkb,,0*5F
1751955100033,!AIVDM,,1,,1,,,,A,,14ac=F30062PE;0BipQ:QpDJ04hd,,0*64
1751955100033,!AIVDM,,1,,1,,,,B,,16H;NF5PA5RP?p2Bj0B8GV2N2<16,,0*31
