timeStamp,payload
1751954859651,!AIVDM",1",1",",B",138SPb000dRP2QHBlATl4CQl0L1n",0*3D
1751954859661,!AIVDM",1",1",",A",3
1751954860072,!AIVDM",1",1",",A",38VpN40001RP8p6BlONFCGw>0P00",0*48
1751954862024,!AIVDM",1",1",",B",16H?UmEP0G2PDK<BjCQuawwB04hL",0*12
1751954862644,!AIVDM",1",1",",B",16H=bv0P002P@42BiuvVEwwv0D1b",0*6D
1751954863047,!AIVDM",1",1",",A",13:HI83004RP@=0Bj9S3N2c>0t1J",0*00
1751954886903,!AIVDM",1",1",",B",39NSh6U0002PGJhBi`H112?F0000",0*46
1751954886907,!AIVDM",1",1",",A",155i;b10?w<tSF0l4Q@>48Cv0PRi",0*16
1751954886907,!AIVDM",1",1",",A",138a?n5P@gRPDS<BjGSf2;3J0@JV",0*01
1751954886907,!AIVDM",1",1",",B",14ac=F3Oh42PEG4BipgaJWwJ04hL",0*70
