timeStamp,payload
1751954558902,!AIVDM",1",1",",B",15VWFf00002P>o@BipUf44HD0H6o",0*36
1751954558910,!AIVDM",1",1",",B",1
1751954564600,!AIVDM",1",1",",B",19NSb<0vP=RP?@VBkKsC`DRv0<2U",0*57
1751954564600,!AIVDM",1",1",",A",16H=bv0P002P@40Biusn;gwv04h8",0*4C
1751954564600,!AIVDM",1",1",",A",38VpN40P@0RP8orBlOM<j`500Pu@",0*0C
1751954564600,!AIVDM",1",1",",B",155i;b10?w<tSF0l4Q@>48;v0d1B",0*11
1751954564641,!AIVDM",1",1",",A",14ac=F30022PEW<BiqO`Joi20<2E",0*67
1751954564641,!AIVDM",1",1",",B",13:HI83006RP?qPBj9MkrBbt0PRT",0*4A
1751954564641,!AIVDM",1",1",",B",15QJF>1P?w<tSF0l4Q@>48Ov0PSK",0*3C
1751954564641,!AIVDM",1",1",",B",38VpN40001RP8onBlOMLNp360Pu1",0*37
1751954564641,!AIVDM",1",1",",A",16H?4l0P0?RPEIPBjBa6cOw80<1k",0*37
1751954564655,!AIVDM",1",1",",B",35Ak1<5000RPB;pBit8It45:0Dab",0*1C
1751954564655,!AIVDM",1",1",",B",39NSS@m0002PAhBBiog<1Jwl0Djr",0*66
1751954565618,!AIVDM",1",1",",A",38VpN40000RP8opBlOM<OH3<0P00",0*2C
1751954565618,!AIVDM",1",1",",A",4045>hAvUl62W2P4d6Bj=Oo00000",0*29
1751954565618,!AIVDM",1",1",",A",19NSb<0wh<RP?B0BkKrkb4SB04h8",0*59
1751954565623,!AIVDM",1",1",",B",16H=bv0P002P@3vBiuwVPwwv00SQ",0*1F
1751954565623,!AIVDM",1",1",",B",16H?UmEP0@2PERFBjBW7RwwB0HHW",0*46
1751954565623,!AIVDM",1",1",",A",13:HI83007RP?r:Bj9Njvja>0h6D",0*0A
1751954565623,!AIVDM",1",1",",B",38VpN40P@1RP8opBlOMLaH3D0Q1h",0*40
